title	director	if_female	source	if_english	if_musical	if_watched	length	link	comments	famous names	theatre
All About Eve	Ivo van Hove 	0	nta	1	0	0	2h13min	https://www.ntathome.com/all-about-eve	-	Gillian Anderson	
All My Sons	Jeremy Herrin	0	nta	1	0	0	2h16min	https://www.ntathome.com/all-my-sons	-		
All of Us	Ian Rickson	0	nta	1	0	0	2h39min	https://www.ntathome.com/all-of-us	play from Francesca Martinez		
Amadeus	Michael Longhurst	0	nta	1	0	0	2h45min	https://www.ntathome.com/amadeus	-		
A Midsummer Night's Dream	Nicholas Hytner	0	nta	1	0	0	2h36min	https://www.ntathome.com/a-midsummer-nights-dream	szekspir	gwendoline christie	
Angels in America 	Marianne Elliott	1	nta	1	0	0	2x długie	https://www.ntathome.com/angels-in-america-part-one-millenium-approaches	dwie czesci	andrew garfield, nathan lane	
Antony & Cleopatra	Simon Godwin	0	nta	1	0	0	3h10min	https://www.ntathome.com/antony-and-cleopatra	szekspir	ralph finnes	
Antigone	Polly Findlay	1	nta	1	0	0	1h34min	https://www.ntathome.com/antigone	-	jodie whittaker, christopher eccleston	
As You Like It	Polly Findlay	1	nta	1	0	0		https://www.ntathome.com/as-you-like-it	szekspir		
A Taste of Honey	Bijan Sheibani	0	nta	1	0	0	2h35min	https://www.ntathome.com/a-taste-of-honey	-		
A View from the Bridge	Ivo Van Hove	0	nta	1	0	0		https://www.ntathome.com/a-view-from-the-bridge	-	nicola walker!! mark strong	
Behind the Beautiful Forevers	Rufus Norris	0	nta	1	0	0	2h26min	https://www.ntathome.com/behind-the-beautiful-forevers	fabuła w indiach		
Best of Enemies	Jeremy Herrin	0	nta	1	0	0	2h14min	https://www.ntathome.com/best-of-enemies	-	zachary quinto	
Blues for an Alabama Sky	Lynette Linton	1	nta	1	0	0		https://www.ntathome.com/blues-for-an-alabama-sky	3 nominacje do oliviera		
Cat on a Hot Tin Roof	Benedict Andrews	0	nta	1	0	0	2h36min	https://www.ntathome.com/cat-on-a-hot-tin-roof	-	sienna miller, jack o-connell	
Chewing Gum Dreams	Nadia Fall	1	nta	1	0	0		https://www.ntathome.com/chewing-gum-dreams	monodram, serial		
Consent	Roger Michell	0	nta	1	0	0	2h11min	https://www.ntathome.com/consent	-		
Constellations	Michael Longhurst	0	nta	1	0	0	1h13min		4 rózne sety autorów		
Coriolanus	Lyndsey Turner	1	nta	1	0	0		https://www.ntathome.com/coriolanus	szekspir		
Dara	Nadia Fall	1	nta	1	0	0		https://www.ntathome.com/dara	oryginalnie z Pakistanu		
Dear Octopus	Emily Burns	1	nta	1	0	0		https://www.ntathome.com/dear-octopus	-		
Death of England	Clint Dyer	0	nta	1	0	0		https://www.ntathome.com/death-of-england-the-plays	trzy części z róznych perspektyw		soho place
Dixon and Daughters	Róisín McBrinn	1	nta	1	0	0		https://www.ntathome.com/dixon-and-daughters	-		
Everyman	Rufus Norris	0	nta	1	0	0		https://www.ntathome.com/everyman	-		
Faith, Hope & Charity	Alexander Zeldin	0	nta	1	0	0		https://www.ntathome.com/faith-hope-and-charity	-		
Frankenstein 	Danny Boyle	0	nta	1	0	0		https://www.ntathome.com/frankenstein-with-benedict-cumberbatch-as-the-creature	dwie wersje aktorskie	benedict cumberbatch	
Grenfell: in the words of survivors	Phyllida Lloyd	1	nta	1	0	0		https://www.ntathome.com/grenfell-in-the-words-of-survivors	tragedia w grenfell, co-reżyserka z typem		
Hansard	Simon Godwin	0	nta	1	0	0		https://www.ntathome.com/hansard	-		
Hedda Gabler	Ivo van Hove 	0	nta	1	0	0		https://www.ntathome.com/hedda-gabler	-	ruth wilson	
Henry V	Max Webster 	0	nta	1	0	0		https://www.ntathome.com/henry-v	szekspir	kit harrington	donmar
Hex	Rufus Norris 	0	nta	1	1	0		https://www.ntathome.com/hex	-		
HOME	Nadia Fall	1	nta	1	0	0	1h51min	https://www.ntathome.com/home	-		
Ian McKellen on Stage	Sean Mathias	0	nta	1	0	0		https://www.ntathome.com/ian-mckellen-on-stage	-		
I Want My Hat Back	Wils Wilson	0	nta	1	0	0		https://www.ntathome.com/i-want-my-hat-back	dla dzieci		
Jack Absolute Flies Again	Emily Burns	1	nta	1	0	0	2h19min	https://www.ntathome.com/jack-absolute-flies-again	-		
Jane Eyre	Sally Cookson	1	nta	1	0	0		https://www.ntathome.com/jane-eyre	-		
Julie	Polly Stenham	1	nta	1	0	0		https://www.ntathome.com/julie	party goes wrong		
Julius Caesar	Nicholas Hytner	0	nta	1	0	0	2h07min	https://www.ntathome.com/julius-caesar	szekspir	ben whishaw	bridge
Kerry Jackson	Indhu Rubasingham	1	nta	1	0	0	2h11min	https://www.ntathome.com/kerry-jackson	-		
Kin	NA	NA	nta	1	0	0	1h25min	https://www.ntathome.com/kin	teatr fizyczny. cokolwiek??		
King Lear	Johnathan Munby 	0	nta	1	0	0		https://www.ntathome.com/king-lear	szekspir	ian mckellen	
London Assurance	Nicholas Hytner	0	nta	1	0	0	2h14min	https://www.ntathome.com/london-assurance	-	fiona shaw	
London Tide	Ian Rickson 	0	nta	1	0	0		https://www.ntathome.com/london-tide	dickens, muzyka pj harvey		
LOVE	Alexander Zeldin	0	nta	1	0	0		https://www.ntathome.com/love	-		
Macbeth	Simon Godwin	0	nta	1	0	0		https://www.ntathome.com/macbeth	-	ralph finnes	
